gate_id,gate_name,gate_kind,applies_to,purpose_decision,membranes_enforced,enforced_surface_hex,enforcement_mechanism,allowed_actor_kinds,required_refs_depends_on,required_commitment_objects,required_evidence,verification_profile_or_suite,success_outputs,success_state_effect,failure_conditions,stop_triggers_on_failure,relief_valve,routing_portal_on_block,notes,contract_refs,spec_refs,plan_refs
G-00,Context admissible (no ghost inputs),work_start,all,Ensure IterationStarted context refs are sufficient and derivation is deterministic.,Intent & Objective; Ontological; Accountability; Authority & Integrity,domain_core; driving_port,schema_validation; runtime_guard,SYSTEM,"SR-TYPES; SR-CONTRACT; SR-SPEC; SR-DIRECTIVE; OracleSuite; Loop; (Base Candidate optional); (Active exceptions optional)",IterationStarted event,N/A (schema validation evidence optional),,IterationStarted accepted; ContextBundle compilation allowed,Iteration may start,Missing required refs; refs not dereferenceable; unknown governed artifact versions,EVIDENCE_MISSING (if ref cannot be fetched); ORACLE_GAP (if suite missing),decision,GovernanceChangePortal (if governance refs missing) / BudgetExtensionPortal (if blocked by budget),Keep conservative: block if unsure; escalate via portal decision.,"C-CTX-1; C-CTX-2; C-LOOP-2",SR-SPEC §3.2.1.1,
G-DEP-READY,Dependencies satisfied,work_start,all,Verify all depends_on deliverables have reached Verified or Shippable status.,Operational; Ontological,driving_port,state_machine_guard,SYSTEM,Deliverable dependency refs from SR-PLAN,VerificationCompleted events for all deps,Dependency status projection,,Iteration may start,Iteration blocked until deps ready,Any depends_on deliverable not Verified,N/A (wait condition not stop),wait,N/A,Topological scheduling enforcement.,"C-ARCH-1",SR-SPEC §3.2,All
G-BUILD-PASS,Build succeeds,accept,code.*,Verify code compiles without errors.,Operational; Isomorphic,oracle_runner,oracle_execution,AGENT,Candidate; OracleSuite,OracleRunCompleted (build),Build log with exit code 0,SR-SUITE-*,BuildVerified,Candidate eligible for further verification,"Build failure; timeout; missing artifacts",REPEATED_FAILURE (if N>=3),waiver (if advisory),ExceptionApprovalPortal,Core gate for all code deliverables.,"C-OR-1",SR-SPEC §3.5,All code
G-UNIT-PASS,Unit tests pass,accept,code.*,Verify unit test suite passes.,Operational; Isomorphic,oracle_runner,oracle_execution,AGENT,Candidate; OracleSuite,OracleRunCompleted (unit-test),Test report with all pass,SR-SUITE-*,UnitTestsVerified,Candidate eligible for further verification,"Test failures; timeout; flaky tests",REPEATED_FAILURE (if N>=3); ORACLE_FLAKE,waiver (if advisory),ExceptionApprovalPortal,Required for STRICT-CORE and STRICT-FULL.,"C-OR-1",SR-SPEC §3.5,All code
G-LINT-PASS,Linting passes,accept,code.*,Verify code style and lint rules pass.,Operational; Architectural,oracle_runner,oracle_execution,AGENT,Candidate; OracleSuite,OracleRunCompleted (lint),Lint report with no errors,SR-SUITE-*,LintVerified,Candidate eligible for further verification,"Lint errors; timeout",REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Formatting and style enforcement.,"C-OR-1",SR-SPEC §3.5,All code
G-SCHEMA-VALID,Schema validation passes,accept,"governance.*; code.persistence; code.evidence",Verify schemas are valid and conform to governed definitions.,Ontological; Isomorphic,oracle_runner,oracle_execution,AGENT,Candidate; OracleSuite; SR-TYPES,OracleRunCompleted (schema-validate),Schema validation report,SR-SUITE-*,SchemaVerified,Candidate schemas are valid,"Schema violations; missing schemas",REPEATED_FAILURE (if N>=3),waiver (for non-normative),ExceptionApprovalPortal,Type system compliance.,"C-META-1",SR-SPEC §3.5,"D-01; D-09; D-15"
G-INTEGRATION-PASS,Integration tests pass,accept,"code.persistence; code.api; code.orchestration; code.oracle; code.ui",Verify integration with external systems works correctly.,Operational; Isomorphic,oracle_runner,oracle_execution,AGENT,Candidate; OracleSuite; Integration environment,OracleRunCompleted (integration-test),Integration test report,SR-SUITE-STRICT-FULL,IntegrationVerified,Candidate eligible for release,"Integration failures; environment issues; timeout",REPEATED_FAILURE (if N>=3); ORACLE_ENV_MISMATCH,waiver,ExceptionApprovalPortal,Required for STRICT-FULL profile.,"C-OR-3",SR-SPEC §3.5,D-10 through D-36
G-E2E-PASS,End-to-end tests pass,accept,test.e2e,Verify full system e2e scenarios pass.,Operational; Accountability,oracle_runner,oracle_execution,AGENT,Candidate; OracleSuite; Full system deployment,OracleRunCompleted (e2e-test),E2E test report,SR-SUITE-STRICT-FULL,E2EVerified,Candidate eligible for release,"E2E failures; system unavailable",REPEATED_FAILURE (if N>=3),waiver,ExceptionApprovalPortal,Full system verification.,"C-OR-1; C-OR-3",SR-SPEC §3.5,"D-26; D-34; D-35; D-36"
G-DETERMINISM-PASS,Determinism verified,accept,"code.domain; code.oracle",Verify operations produce identical outputs for identical inputs.,Operational; Isomorphic; Accountability,oracle_runner,oracle_execution; property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (determinism-check),Determinism proof (multiple runs match),SR-SUITE-*,DeterminismVerified,Candidate determinism proven,Non-deterministic behavior detected,ORACLE_FLAKE,none (non-waivable for required oracles),GovernanceChangePortal,Critical for C-OR-1 compliance.,"C-OR-1",SR-SPEC §3.5.3,"D-06; D-24"
G-ORACLE-DETERMINISM-PASS,Oracle determinism verified,accept,code.oracle,Verify oracles produce deterministic results.,Operational; Authority & Integrity,oracle_runner,oracle_execution; property_testing,AGENT,Candidate; OracleSuite,OracleRunCompleted (oracle-determinism),Oracle determinism proof,SR-SUITE-*,OracleDeterminismVerified,Oracle suite determinism proven,Oracle non-determinism detected,ORACLE_FLAKE,none,OracleSuiteChangePortal,Required oracles must be deterministic.,"C-OR-1",SR-SPEC §3.5.3,D-25
